shortname	gtrnadbid	species_long	query	class	family	genus	order	phylum	species	domain	txid	kingdom
Lept_borg_serovar_Hardjo_bovis_JB197	leptBorg_JB197	Leptospira borgpetersenii serovar Hardjo-bovis str. JB197	Leptospira borgpetersenii	Spirochaetia	Leptospiraceae	Leptospira		Spirochaetes	Leptospira borgpetersenii	Bacteria	174	
Lept_borg_serovar_Hardjo_bovis_L550	leptBorg_L550	Leptospira borgpetersenii serovar Hardjo-bovis str. L550	Leptospira borgpetersenii	Spirochaetia	Leptospiraceae	Leptospira		Spirochaetes	Leptospira borgpetersenii	Bacteria	174	
Lept_inte_serovar_Copenhageni_Fiocruz_L1_130	leptInte_COPENHAGENI_FIOCRUZ_L	Leptospira interrogans serovar Copenhageni str. Fiocruz L1-130	Leptospira interrogans	Spirochaetia	Leptospiraceae	Leptospira		Spirochaetes	Leptospira interrogans	Bacteria	173	
Lept_inte_serovar_Lai_56601	leptInte_LAI	Leptospira interrogans serovar Lai str. 56601	Leptospira interrogans	Spirochaetia	Leptospiraceae	Leptospira		Spirochaetes	Leptospira interrogans	Bacteria	173	
Lept_inte_serovar_Lai_IPAV	leptInte_LAI_IPAV	Leptospira interrogans serovar Lai str. IPAV	Leptospira interrogans	Spirochaetia	Leptospiraceae	Leptospira		Spirochaetes	Leptospira interrogans	Bacteria	173	
Lept_inte_serovar_Linhai_56609	leptInte_LINHAI_56609	Leptospira interrogans serovar Linhai str. 56609	Leptospira interrogans	Spirochaetia	Leptospiraceae	Leptospira		Spirochaetes	Leptospira interrogans	Bacteria	173	
Sali_paci_L21_RPul_D2	saliPaci_L21_RPUL_D2	Salinispira pacifica L21-RPul-D2	Salinispira pacifica	Spirochaetia	Spirochaetaceae	Salinispira	Spirochaetales	Spirochaetes	Salinispira pacifica	Bacteria	1307761	
Spha_cocc_DSM_17374	sphaCocc_DSM17374	Sphaerochaeta coccoides DSM 17374	Sphaerochaeta coccoides	Spirochaetia	Spirochaetaceae	Sphaerochaeta	Spirochaetales	Spirochaetes	Sphaerochaeta coccoides	Bacteria	273376	
Spha_glob_Buddy	sphaGlob_BUDDY	Sphaerochaeta globosa str. Buddy	Sphaerochaeta globosa	Spirochaetia	Spirochaetaceae	Sphaerochaeta	Spirochaetales	Spirochaetes	Sphaerochaeta globosa	Bacteria	1131703	
Spha_pleo_Grapes	sphaPleo_GRAPES	Sphaerochaeta pleomorpha str. Grapes	Sphaerochaeta pleomorpha	Spirochaetia	Spirochaetaceae	Sphaerochaeta	Spirochaetales	Spirochaetes	Sphaerochaeta pleomorpha	Bacteria	1131707	
Spir_afri_DSM_8902	spirAfri_DSM8902	Spirochaeta africana DSM 8902	Spirochaeta africana	Spirochaetia	Spirochaetaceae	Spirochaeta	Spirochaetales	Spirochaetes	Spirochaeta africana	Bacteria	46355	
Spir_smar_DSM_11293	spirSmar_DSM11293	Spirochaeta smaragdinae DSM 11293	Spirochaeta smaragdinae	Spirochaetia	Spirochaetaceae	Sediminispirochaeta	Spirochaetales	Spirochaetes	Sediminispirochaeta smaragdinae	Bacteria	55206	
Spir_ther_DSM_6192	spirTher_DSM6192	Spirochaeta thermophila DSM 6192	Spirochaeta thermophila	Spirochaetia	Spirochaetaceae	Spirochaeta	Spirochaetales	Spirochaetes	Spirochaeta thermophila	Bacteria	154	
Spir_ther_DSM_6578	spirTher_DSM6578	Spirochaeta thermophila DSM 6578	Spirochaeta thermophila	Spirochaetia	Spirochaetaceae	Spirochaeta	Spirochaetales	Spirochaetes	Spirochaeta thermophila	Bacteria	154	
Trep_azot_ZAS_9	trepAzot_ZAS_9	Treponema azotonutricium ZAS-9	Treponema azotonutricium	Spirochaetia	Spirochaetaceae	Treponema	Spirochaetales	Spirochaetes	Treponema azotonutricium	Bacteria	150829	
Trep_bren_DSM_12168	trepBren_DSM12168	Treponema brennaborense DSM 12168	Treponema brennaborense	Spirochaetia	Spirochaetaceae	Treponema	Spirochaetales	Spirochaetes	Treponema brennaborense	Bacteria	81028	
Trep_cald_DSM_7334	trepCald_DSM7334	Treponema caldaria DSM 7334	Treponema caldaria	Spirochaetia	Spirochaetaceae	Treponema	Spirochaetales	Spirochaetes	Treponema caldarium	Bacteria	215591	
Trep_dent_ATCC_35405	trepDent_ATCC35405	Treponema denticola ATCC 35405	Treponema denticola	Spirochaetia	Spirochaetaceae	Treponema	Spirochaetales	Spirochaetes	Treponema denticola	Bacteria	158	
Trep_pall_Fribourg_Blanc	trepPall_FRIBOURG_BLANC	Treponema pallidum str. Fribourg-Blanc	Treponema pallidum	Spirochaetia	Spirochaetaceae	Treponema	Spirochaetales	Spirochaetes	Treponema pallidum	Bacteria	160	
Trep_pall_endemicum_Bosnia_A	trepPall_ENDEMICUM_BOSNI	Treponema pallidum subsp. endemicum str. Bosnia A	Treponema pallidum	Spirochaetia	Spirochaetaceae	Treponema	Spirochaetales	Spirochaetes	Treponema pallidum	Bacteria	160	
Trep_pall_pallidum_DAL_1	trepPall_PALLIDUM_DAL_1	Treponema pallidum subsp. pallidum DAL-1	Treponema pallidum	Spirochaetia	Spirochaetaceae	Treponema	Spirochaetales	Spirochaetes	Treponema pallidum	Bacteria	160	
Trep_pall_pallidum_SS14	trepPall_PALLIDUM_SS14	Treponema pallidum subsp. pallidum SS14	Treponema pallidum	Spirochaetia	Spirochaetaceae	Treponema	Spirochaetales	Spirochaetes	Treponema pallidum	Bacteria	160	
Trep_pall_pallidum_SS14_1	trepPall_PALLIDUM_SS14_1	Treponema pallidum subsp. pallidum SS14	Treponema pallidum	Spirochaetia	Spirochaetaceae	Treponema	Spirochaetales	Spirochaetes	Treponema pallidum	Bacteria	160	
Trep_pall_pallidum_Chicago	trepPall_PALLIDUM_CHICAG	Treponema pallidum subsp. pallidum str. Chicago	Treponema pallidum	Spirochaetia	Spirochaetaceae	Treponema	Spirochaetales	Spirochaetes	Treponema pallidum	Bacteria	160	
Trep_pall_pallidum_Mexico_A	trepPall_PALLIDUM_MEXICO	Treponema pallidum subsp. pallidum str. Mexico A	Treponema pallidum	Spirochaetia	Spirochaetaceae	Treponema	Spirochaetales	Spirochaetes	Treponema pallidum	Bacteria	160	
Trep_pall_pallidum_Nichols	trepPall_PALLIDUM_NICHOL	Treponema pallidum subsp. pallidum str. Nichols	Treponema pallidum	Spirochaetia	Spirochaetaceae	Treponema	Spirochaetales	Spirochaetes	Treponema pallidum	Bacteria	160	
Trep_pall_pallidum_Nichols_1	trepPall_PALLIDUM_NICHOL_1	Treponema pallidum subsp. pallidum str. Nichols	Treponema pallidum	Spirochaetia	Spirochaetaceae	Treponema	Spirochaetales	Spirochaetes	Treponema pallidum	Bacteria	160	
Trep_pall_pallidum_Sea_81_4	trepPall_PALLIDUM_SEA_81	Treponema pallidum subsp. pallidum str. Sea 81-4	Treponema pallidum	Spirochaetia	Spirochaetaceae	Treponema	Spirochaetales	Spirochaetes	Treponema pallidum	Bacteria	160	
Trep_pall_pertenue_CDC2	trepPall_PERTENUE_CDC2	Treponema pallidum subsp. pertenue str. CDC2	Treponema pallidum	Spirochaetia	Spirochaetaceae	Treponema	Spirochaetales	Spirochaetes	Treponema pallidum	Bacteria	160	
Trep_pall_pertenue_Gauthier	trepPall_PERTENUE_GAUTHI	Treponema pallidum subsp. pertenue str. Gauthier	Treponema pallidum	Spirochaetia	Spirochaetaceae	Treponema	Spirochaetales	Spirochaetes	Treponema pallidum	Bacteria	160	
